Month	Month2	station	Depth	spread	Silicate	NOx	Phosphate	Nitrite	NO3	NH4	Chl	Phaeo	POC	POC	PN	PN	C:N_ratio_	d13C	d15N	bacteria
Oct	2	st2	5	min_	NA	NA	NA	NA	NA	NA	0.025128071	0.184215072	0.562927571	4.68716E-05	0.046352512	3.30853E-06	14.16688509	-29.247	4.906	NA
Oct	2	st2	5	max	NA	NA	NA	NA	NA	NA	0.071710649	0.22281796	0.575163296	4.78904E-05	0.047048484	3.35821E-06	14.2606939	-30.016	4.750	NA
Oct	2	st2	30	median	NA	1.555	0.243	1.401	0.154	0.801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oct	2	st2	30	min_	NA	NA	NA	NA	NA	NA	0.003547411	0.0142392	0.393226213	3.27416E-05	0.027846731	1.98763E-06	16.472646	-30.017	4.986	2.11E+04
Oct	2	st2	30	max	NA	NA	NA	NA	NA	NA	0.013265449	0.063157074	0.470881863	3.92075E-05	0.029124492	2.07884E-06	18.86030591	-30.622	4.417	NA
Oct	2	st2	75	median	NA	5.561	0.054	5.506	0.055	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oct	2	st2	75	min_	NA	NA	NA	NA	NA	NA	0.007848783	NA	0.423157552	3.52338E-05	0.024687672	1.76215E-06	19.99480109	-31.158	9.444	NA
Oct	2	st2	75	max	NA	NA	NA	NA	NA	NA	0.036159388	0.008689294	0.49445356	4.11702E-05	0.024981285	1.7831E-06	23.08903927	-30.917	6.676	NA
Oct	2	st3	5	median	NA	0.263	0.034	0.212	0.051	0.029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oct	2	st3	5	min_	NA	NA	NA	NA	NA	NA	2.765210364	NA	0.495677224	4.1272E-05	0.047478029	3.38887E-06	12.17871341	-28.249	4.705	NA
Oct	2	st3	5	max	NA	NA	NA	NA	NA	NA	2.869906723	NA	0.567795468	4.72769E-05	0.044828715	3.19977E-06	14.77511139	-28.987	4.445	5.45E+05
Oct	2	st3	30	median	NA	1.137	0.120	1.005	0.132	0.466	0.719221751	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oct	2	st3	30	min	NA	NA	NA	NA	NA	NA	NA	NA	0.510572067	4.25122E-05	0.030657805	2.18828E-06	19.42724086	-30.113	5.019	NA
Oct	2	st3	30	max	NA	NA	NA	NA	NA	NA	NA	NA	0.582570805	4.85071E-05	0.031205611	2.22738E-06	21.77765725	-30.275	4.865	NA
Oct	2	st3	100	median	NA	3.574	0.262	3.524	0.05	0.046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oct	2	st3	100	min_	NA	NA	NA	NA	NA	NA	0.048623447	NA	0.574875836	4.78664E-05	0.03360481	2.39863E-06	19.95573527	-29.552	6.983	NA
Oct	2	st3	100	max	NA	NA	NA	NA	NA	NA	0.058446381	0.003331667	0.786239472	6.54654E-05	0.036757073	2.62363E-06	24.95221187	-29.882	7.404	NA
Nov	3	st1	5	median	NA	3.82	0.138651472	0.083	3.737	0.401	NA	NA	0.34907247	2.90652E-05	0.018347874	1.30963E-06	22.19345803	-29.527	6.278	NA
Nov	3	st1	5	min	NA	2.196	0.11965812	0.038	2.158	NA	0.822576687	2.615592874	0.338335887	2.81712E-05	0.019038589	1.35893E-06	20.73043569	-29.318	7.294	NA
Nov	3	st1	5	max	NA	4.842	0.148148148	0.131	4.711	1.293	0.991074886	3.031936907	0.35629067	2.96662E-05	0.01774217	1.26639E-06	23.42571422	-29.485	6.648	5.43E+05
Nov	3	st1	30	median	NA	4.442	0.385565052	0.037	4.405	3.107	NA	NA	0.336633717	2.80295E-05	0.021683231	1.5477E-06	18.11042901	-29.454	8.046	NA
Nov	3	st1	30	min	NA	4.133	0.205128205	0.03	4.103	0.024	0.954977688	2.333857733	0.317385342	2.64268E-05	0.02117715	1.51157E-06	17.48294086	-29.063	6.217	NA
Nov	3	st1	30	max	NA	6.504	0.423551757	0.056	6.448	5.098	1.156981557	2.45825336	0.348077653	2.89823E-05	0.021381708	1.52617E-06	18.99017137	-29.244	6.154	NA
Nov	3	st1	45	median	NA	5.414	0.528015195	0.034	5.38	0.433	NA	NA	0.40870167	3.40301E-05	0.028504043	2.03455E-06	16.72611463	-28.310	13.281	NA
Nov	3	st1	45	min	NA	4.202	0.518518519	0.017	4.185	0.171	2.547484133	3.211281065	0.378147437	3.1486E-05	0.027651276	1.97368E-06	15.95295401	-28.405	7.319	NA
Nov	3	st1	45	max	NA	7.44	0.698955366	0.051	7.389	0.833	2.984746415	3.565476634	0.478631543	3.98528E-05	0.031080942	2.21848E-06	17.96396775	NA	NA	NA
Nov	3	st2	5	median	NA	2.734	0.1671415	0.06	2.674	0.695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nov	3	st2	5	min	NA	2.096	0.129154796	0.045	2.051	0.625	0.605842353	1.708417609	0.22491397	1.87272E-05	0.013204703	9.4252E-07	19.86931659	-29.236	3.550	4.42E+03
Nov	3	st2	5	max	NA	3.306	0.224121557	0.073	3.233	1.033	0.853763992	2.145516831	0.227488432	1.89416E-05	0.012555165	8.96157E-07	21.13644891	-29.529	4.151	NA
Nov	3	st2	30	median	NA	3.423	0.224121557	0.026	3.397	1.045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nov	3	st2	30	min	NA	1.423	0.11965812	0.004	1.419	0.883	0.552711283	1.790793369	0.247485158	2.06066E-05	0.012310758	8.78712E-07	23.4508989	-30.604	2.906	NA
Nov	3	st2	30	max	NA	3.435	0.271604938	0.03	3.405	1.116	0.573426984	2.029504545	0.264773588	2.20461E-05	0.0129417	9.23747E-07	23.8659359	-29.913	2.947	NA
Nov	3	st2	75	median	NA	4.096	0.414055081	0.028	4.068	NA	0.253362906	2.058768065	NA	NA	NA	NA	NA	NA	NA	NA
Nov	3	st2	75	min	NA	2.417	0.347578348	0.015	2.402	NA	NA	NA	0.26560488	2.21153E-05	0.01785109	1.27417E-06	17.3566708	-28.795	6.162	NA
Nov	3	st2	75	max	NA	5.509	0.480531814	0.045	5.464	0.823	NA	NA	0.333507889	2.77692E-05	0.017654502	1.26014E-06	22.0366594	-29.334	4.144	NA
Nov	3	st2	75	median	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nov	3	st3	5	min	NA	2.678	0.157644824	0.045	2.627	NA	0.16428421	1.692278462	0.233865443	1.94726E-05	0.011916253	8.50553E-07	22.89398807	-30.226	3.878	6.46E+05
Nov	3	st3	5	max	NA	5.509	0.480531814	0.073	5.464	0.823	0.516964398	2.199457813	0.270009692	2.24821E-05	0.014048172	1.00272E-06	22.42098347	-29.826	7.359	NA
Nov	3	st3	30	median	NA	3.812	0.205128205	0.045	3.767	NA	NA	NA	0.322822201	2.68795E-05	0.017354307	1.23871E-06	21.69957604	-28.974	5.190	NA
Nov	3	st3	30	min	NA	1.801	0.129154796	0.021	1.78	NA	0.173903254	1.619975588	NA	NA	NA	NA	NA	NA	NA	NA
Nov	3	st3	30	max	NA	4.481	0.224121557	0.055	4.426	NA	0.509878628	1.63663412	NA	NA	NA	NA	NA	NA	NA	NA
Nov	3	st3	30	median	NA	NA	NA	NA	NA	NA	0.47656268	1.557771399	0.297264204	2.47514E-05	0.015918416	1.13622E-06	21.78401281	-29.715	6.256	NA
Nov	3	st3	100	min	NA	3.812	0.205128205	0.034	3.767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nov	3	st3	100	max	NA	6.832	0.471035138	0.053	6.798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dec	4	st1	5	median	NA	1.543	0.233901515	NA	1.536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dec	4	st1	5	min	NA	1.367	0.214962121	NA	1.381	NA	0.224619919	1.313010002	0.26748	2.22714E-05	0.013368083	9.54182E-07	23.34088366	-29.727	5.199	1.98E+05
Dec	4	st1	5	max	NA	3.553	0.252840909	0.007	3.569	NA	0.328632971	1.367311059	0.285181719	2.37454E-05	0.013018741	9.29246E-07	25.55334884	-29.810	6.001	NA
Dec	4	st1	30	median	NA	3.814	0.319128788	0.019	3.795	NA	NA	NA	0.324962637	2.70577E-05	0.019722663	1.40776E-06	19.2204259	-28.693	5.137	NA
Dec	4	st1	30	min	NA	2.516	0.271780303	NA	2.493	NA	0.206137562	1.041183785	0.296803789	2.47131E-05	0.017376888	1.24032E-06	19.92473561	-29.575	5.941	NA
Dec	4	st1	30	max	NA	4.182	0.385416667	0.023	4.199	0.153	0.306183024	1.443253048	0.320119559	2.66544E-05	0.020438616	1.45886E-06	18.27072828	-29.157	5.918	NA
Dec	4	st1	45	median	NA	4.912	0.726325758	0.008	4.904	NA	NA	NA	0.358484358	2.98488E-05	0.023255937	1.65995E-06	17.98173131	-28.353	8.387	NA
Dec	4	st1	45	min	NA	4.472	0.726325758	0.007	4.465	NA	0.265877346	1.664826244	0.351712436	2.9285E-05	0.0200295	1.42966E-06	20.48390477	-29.150	6.161	NA
Dec	4	st1	45	max	NA	7.185	0.792613636	0.011	7.174	NA	0.54476823	1.828953827	0.387271388	3.22457E-05	0.021854582	1.55993E-06	20.67131189	-29.262	7.423	NA
Dec	4	st2	5	median	NA	4.924	0.347537879	NA	4.939	NA	NA	NA	0.253754252	2.11286E-05	0.011540345	8.23722E-07	25.65013572	-30.551	7.305	NA
Dec	4	st2	5	min	NA	4.917	0.338068182	NA	4.923	NA	0.076776805	1.297339675	0.250290534	2.08402E-05	0.012266924	8.75583E-07	23.80147515	-30.243	3.293	1.98E+04
Dec	4	st2	5	max	NA	5.003	0.347537879	NA	5.017	NA	0.300705545	1.50697136	0.268595459	2.23643E-05	0.012512659	8.93123E-07	25.04056784	-30.311	6.205	NA
Dec	4	st2	30	median	NA	4.799	0.338068182	NA	4.771	NA	NA	NA	0.290501434	2.41883E-05	0.011186899	7.98494E-07	30.2924004	-29.473	6.362	NA
Dec	4	st2	30	min	NA	4.018	0.300189394	NA	4.032	NA	0.198440122	1.226507536	0.265057754	2.20698E-05	0.012507346	8.92744E-07	24.72125262	-31.011	4.250	NA
Dec	4	st2	30	max	NA	5.558	0.574810606	0.028	5.572	NA	0.202195163	1.275486653	0.302344795	2.51744E-05	0.016052574	1.14579E-06	21.97115715	-35.123	4.558	NA
Dec	4	st2	75	median	NA	2.849	0.233901515	0.009	2.84	NA	NA	NA	0.334550751	2.7856E-05	0.016442279	1.17361E-06	23.73532237	-29.203	7.206	NA
Dec	4	st2	75	min	NA	2.016	0.214962121	NA	2.001	NA	0.14550507	1.307415007	0.292413961	2.43475E-05	0.016690853	1.19135E-06	20.43688491	-28.886	7.321	NA
Dec	4	st2	75	max	NA	4.211	0.28125	0.015	4.224	0.074	0.204508016	1.32790729	0.341627104	2.84452E-05	0.019192897	1.36994E-06	20.76380341	-28.339	7.035	NA
Dec	4	st3	5	median	NA	2.739	0.205492424	0.013	2.726	NA	NA	NA	0.287926025	2.39739E-05	0.010571575	7.54574E-07	31.7713987	-34.344	4.447	NA
Dec	4	st3	5	min	NA	2.572	0.196022727	NA	2.587	NA	0.070231856	1.061652146	0.259858116	2.16368E-05	0.011450415	8.17303E-07	26.47342804	-29.735	6.282	NA
Dec	4	st3	5	max	NA	4.163	0.205492424	0.028	4.135	NA	0.115086879	1.34604767	0.292100827	2.43215E-05	0.012734037	9.08925E-07	26.7585023	-29.711	2.724	NA
Dec	4	st3	30	median	NA	3.038	0.233901515	0.012	3.026	NA	NA	NA	0.300917242	2.50556E-05	0.011523765	8.22539E-07	30.46125624	-29.894	8.062	NA
Dec	4	st3	30	min	NA	2.063	0.205492424	0.009	2.054	NA	0.094538069	1.169719831	0.022276416	1.85482E-06	0.010582442	7.55349E-07	2.455582578	-29.881	7.397	NA
Dec	4	st3	30	max	NA	4.178	0.300189394	0.034	4.144	NA	0.107002914	1.147343789	0.308748971	2.57077E-05	0.011550932	8.24478E-07	31.18054029	-30.243	7.974	NA
Dec	4	st3	100	median	NA	4.958	0.451704545	0.02	4.938	NA	0.074729245	1.147343789	0.319950505	2.66403E-05	0.016049721	1.14559E-06	23.25468369	-28.542	7.406	NA
Dec	4	st3	100	min	NA	3.129	0.423295455	0.01	3.119	NA	NA	NA	0.313020122	2.60633E-05	0.01662022	1.18631E-06	21.97002847	-30.346	6.979	NA
Dec	4	st3	100	max	NA	5.804	0.461174242	0.032	5.772	NA	NA	NA	0.380099741	3.16486E-05	0.017628101	1.25825E-06	25.15284849	-29.129	8.801	NA
Jan	5	st1	5	median	NA	5.101	0.348380765	0.033	5.057	0.173	NA	NA	0.319745282	2.66233E-05	0.012826404	9.15518E-07	29.07999794	-29.237	7.854	NA
Jan	5	st1	5	min	NA	4.674	0.171736997	0.031	4.643	NA	0.09437905	0.948360198	0.277663411	2.31194E-05	0.011940772	8.52304E-07	27.12572567	-29.653	6.610	NA
Jan	5	st1	5	max	NA	5.333	0.358194308	0.044	5.3	0.295	0.151315543	1.160255722	0.35358016	2.94405E-05	0.015328448	1.09411E-06	26.90821173	-28.864	6.780	NA
Jan	5	st1	30	median	NA	4.165	0.32875368	0.017	4.152	0.749	NA	NA	0.346559209	2.88559E-05	0.017073902	1.21869E-06	23.67771471	-29.693	7.509	NA
Jan	5	st1	30	min	NA	3.849	0.318940137	0.013	3.832	NA	0.102966049	1.040479375	0.291984245	2.43118E-05	0.011017108	7.86375E-07	30.91625976	-30.866	7.720	NA
Jan	5	st1	30	max	NA	5.408	0.407262022	0.033	5.375	1.911	0.150708596	1.091961294	0.356995251	2.97248E-05	0.015276831	1.09042E-06	27.25990162	-29.206	6.770	NA
Jan	5	st1	45	median	NA	9.292	0.897939156	0.019	9.259	0.289	NA	NA	0.414380715	3.4503E-05	0.031290186	2.23342E-06	15.44850716	-26.623	7.695	NA
Jan	5	st1	45	min	NA	6.147	0.780176644	0.017	6.13	NA	0.229070076	1.365802217	0.378111579	3.14831E-05	0.029188849	2.08343E-06	15.11117143	-28.064	8.256	NA
Jan	5	st1	45	max	NA	9.533	1.005888126	0.033	9.514	1.367	0.24178447	1.597276523	0.491079818	4.08892E-05	0.036849832	2.63025E-06	15.54575102	-28.491	8.033	NA
Jan	5	st3	5	median	NA	3.755	0.260058881	0.026	3.732	NA	NA	NA	0.25819176	2.14981E-05	0.011758756	8.39312E-07	25.61392448	-29.738	5.758	NA
Jan	5	st3	5	min	NA	3.693	0.210991168	0.023	3.667	NA	NA	1.053637209	0.25181731	2.09673E-05	0.011377065	8.12067E-07	25.81965639	-29.729	5.653	NA
Jan	5	st3	5	max	NA	5.081	0.299313052	0.032	5.049	0.312	0.103440743	1.201719299	0.282276601	2.35035E-05	0.012352346	8.81681E-07	26.65756928	-29.863	5.176	NA
Jan	5	st3	30	median	NA	2.874	0.230618253	0.02	2.854	0.349	NA	NA	0.303551424	2.52749E-05	0.013009778	9.28607E-07	27.21808152	-29.189	4.552	NA
Jan	5	st3	30	min	NA	2.72	0.230618253	0.019	2.699	NA	0.092071708	0.994120108	0.270313909	2.25074E-05	0.013474327	9.61765E-07	23.40218645	-29.851	3.828	NA
Jan	5	st3	30	max	NA	3.447	0.260058881	0.021	3.428	0.436	0.128460964	1.012194331	0.3390199	2.82281E-05	0.015252381	1.08868E-06	25.92881468	-29.791	6.537	NA
Jan	5	st3	100	median	NA	3.771	0.240431796	0.023	3.748	NA	NA	NA	0.270823114	2.25498E-05	0.011924472	8.5114E-07	26.49364326	-38.399	5.103	NA
Jan	5	st3	100	min	NA	2.944	0	0.02	2.924	NA	0.099518024	1.056742538	0.255805677	2.12994E-05	0.012412113	8.85947E-07	24.04139086	-29.878	6.529	NA
Jan	5	st3	100	max	NA	4.995	0.299313052	0.028	4.967	0.666	0.121387003	1.078421863	0.287134036	2.39079E-05	0.013384677	9.55366E-07	25.02487391	-30.341	7.072	NA
Feb	6	st1	5	median	NA	4.948	NA	0.042	4.945	0.013	NA	NA	0.238533882	1.98613E-05	0.011837967	8.44966E-07	23.50542322	-26.082	8.852	NA
Feb	6	st1	5	min	NA	3.771	0.235517569	0.023	3.748	NA	0.051332272	0.933222886	0.204332535	1.70135E-05	0.014113028	1.00735E-06	16.88933134	-25.29	8.182	NA
Feb	6	st1	5	max	NA	3.771	0.434947768	0.023	3.748	NA	0.093294261	0.935030265	0.301151566	2.50751E-05	0.030550113	2.18059E-06	11.49919498	-22.984	9.492	NA
Feb	6	st1	5	median	NA	NA	NA	NA	NA	NA	NA	NA	0.190432183	1.58561E-05	0.008685775	6.1997E-07	25.57566406	-27.671	6.059	NA
Feb	6	st1	30	min	NA	5.389	0.434947768	0.039	5.342	NA	0.092558997	0.919617801	0.145022422	1.20751E-05	0.005398358	3.85322E-07	31.33780904	-28.198	2.348	NA
Feb	6	st1	30	max	NA	5.828	0.482431149	0.047	5.789	0.224	0.094191692	0.942714121	0.213575459	1.77831E-05	0.011865377	8.46922E-07	20.99737084	-26.623	5.643	NA
Feb	6	st1	45	median	NA	NA	0.415954416	NA	NA	NA	NA	NA	0.176417777	1.46892E-05	0.004022357	2.87106E-07	51.1630999	-27.599	5.521	NA
Feb	6	st1	45	min	NA	5.226	0.40645774	NA	5.183	NA	0.050385246	0.842810628	0.171309965	1.42639E-05	0.003357199	2.39629E-07	59.52517691	-27.731	5.265	NA
Feb	6	st1	45	max	NA	7.563	0.52991453	0.043	7.569	0.042	0.07093878	0.901405725	0.176680879	1.47111E-05	0.004395138	3.13714E-07	46.89344643	-28.022	5.535	NA
Feb	6	st1	45	median	NA	NA	NA	NA	NA	NA	NA	NA	0.248468907	2.06885E-05	0.015207615	1.08548E-06	19.05926128	-27.346	3.446	NA
Feb	6	st2	5	min	NA	3.46	0.425451092	NA	3.466	NA	0.114006026	0.970417474	0.244677902	2.03728E-05	0.013727455	9.79833E-07	20.7921711	-26.362	6.653	NA
Feb	6	st2	5	max	NA	4.774	0.52991453	0.031	4.743	NA	0.125827712	0.979526941	0.255345856	2.12611E-05	0.011359199	8.10792E-07	26.22262844	-27.662	6.610	NA
Feb	6	st2	30	median	NA	4.186	0.311490978	0.026	4.156	NA	NA	NA	0.185258919	1.54254E-05	0.007958486	5.68058E-07	27.15462376	-27.715	6.257	NA
Feb	6	st2	30	min	NA	3.865	0.301994302	NA	3.875	NA	0.090111529	0.943155995	0.189182124	1.57521E-05	0.005816823	4.15191E-07	37.93930792	-28.19	4.173	NA
Feb	6	st2	30	max	NA	5.014	0.368471035	0.03	4.988	NA	0.096342377	1.030549506	0.195382523	1.62683E-05	0.006237115	4.4519E-07	36.54240225	-28.086	4.759	3.67E+04
Feb	6	st2	75	median	NA	4.229	0.33048433	NA	4.186	NA	NA	NA	0.173053179	1.44091E-05	0.006679336	4.76755E-07	30.22326969	-26.983	5.474	NA
Feb	6	st2	75	min	NA	3.116	0.178537512	NA	3.12	NA	0.101767112	1.077181465	0.169761161	1.4135E-05	0.005593885	3.99278E-07	35.40135906	-27.573	5.490	NA
Feb	6	st2	75	max	NA	4.581	0.415954416	0.043	4.585	0.068	0.152230293	1.141009969	0.190235181	1.58397E-05	0.004583356	3.27149E-07	48.41750131	-28.478	6.092	NA
Feb	6	st3	5	median	NA	4.534	0.320987654	NA	4.543	0.006	NA	NA	0.121641317	1.01283E-05	0.000625299	4.46323E-08	226.9283512	-29.134	3.361	NA
Feb	6	st3	5	min	NA	2.402	0.311490978	NA	2.379	NA	0.089158993	0.990394967	0.129872011	1.08137E-05	0.001434818	1.02414E-07	105.5878166	-28.599	2.719	NA
Feb	6	st3	5	max	NA	6.465	0.320987654	0.023	6.471	0.009	0.090154039	1.021429621	0.135995942	1.13236E-05	0.001116858	7.97186E-08	142.0440819	-28.403	3.818	NA
Feb	6	st3	30	median	NA	5.029	0.472934473	NA	5.038	NA	0.102988878	1.093955846	0.20637579	1.71837E-05	0.007859809	5.61014E-07	30.62964013	-27.386	5.110	NA
Feb	6	st3	30	min	NA	3.892	0.415954416	NA	3.862	NA	NA	NA	0.185533686	1.54483E-05	0.00646188	4.61233E-07	33.4933829	-28.811	3.369	NA
Feb	6	st3	30	max	NA	6.505	0.482431149	0.03	6.516	NA	NA	NA	0.20945266	1.74399E-05	0.008009652	5.7171E-07	30.50474173	-27.411	4.175	NA
Feb	6	st3	100	median	NA	4.595	0.358974359	NA	4.604	NA	0.065722658	0.752455288	0.242451902	2.01875E-05	0.011611375	8.28792E-07	24.35774518	-31.47	5.888	NA
Feb	6	st3	100	min	NA	3.857	0.311490978	NA	3.869	NA	0.217827783	0.812576565	0.197848945	1.64737E-05	0.007143484	5.09885E-07	32.30864612	-28.241	4.360	NA
Feb	6	st3	100	max	NA	5.274	0.387464387	0.038	5.236	NA	NA	NA	0.261589025	2.17809E-05	0.013137219	9.37703E-07	23.22796809	-27.204	7.062	NA
March	7	st1	5	median	NA	4.585	0.247115385	0.007	4.582	0.09	0.368179768	NA	0.173329242	1.44321E-05	0.014728847	1.05131E-06	13.72771338	-26.403	5.924	NA
March	7	st1	5	min	NA	3.099	0.227884615	0.003	3.092	0.083	0.368179768	NA	0.171230256	1.42573E-05	0.015863637	1.13231E-06	12.59136692	-26.017	6.187	NA
March	7	st1	5	max	NA	7.833	0.449038462	0.084	7.749	0.126	0.41028267	NA	0.197340237	1.64313E-05	0.014792805	1.05587E-06	15.56181483	-26.439	4.832	NA
March	7	st1	30	median	NA	5.487	0.439423077	0.001	5.486	0	0.137127472	0.812771994	0.135642115	1.12941E-05	0.004184992	2.98715E-07	37.80898798	-26.697	6.465	NA
March	7	st1	30	min	NA	3.725	0.400961538	0	3.725	0	0.07585497	0.812771994	0.109146553	9.08797E-06	0.002534888	1.80934E-07	50.22806264	-27.204	5.222	NA
